date,Negative,Neutral,Positive
2025-05-11,3,9,4
2025-05-12,3,11,10
2025-05-13,5,23,28
2025-05-14,5,25,27
2025-05-15,7,44,46
2025-05-16,23,78,52
2025-05-17,28,64,61
